Generation,Density 0,1,Density 0,3,Density 0,5,Density 0,7,Density 0,9
0,51,301,265,42,0
1,39,268,238,25,0
2,41,265,216,20,0
3,41,242,209,16,0
4,35,226,186,16,0
5,36,219,162,17,0
6,35,221,168,15,0
7,41,224,178,17,0
8,40,235,166,18,0
9,46,217,158,22,0
10,53,227,153,18,0
11,66,266,145,18,0
12,57,230,170,16,0
13,76,244,156,16,0
14,62,219,169,22,0
15,85,211,155,14,0
16,63,213,177,12,0
17,77,189,147,8,0
18,66,213,160,8,0
19,79,194,145,8,0
20,86,204,126,8,0
21,98,209,131,8,0
22,62,184,115,8,0
23,70,205,124,8,0
24,73,157,106,8,0
25,69,174,100,8,NA
26,69,151,102,8,NA
27,76,152,98,8,NA
28,73,167,103,8,NA
29,77,165,106,8,NA
30,73,180,111,8,NA
31,81,179,103,8,NA
32,76,163,100,8,NA
33,76,142,102,8,NA
34,66,146,107,8,NA
35,62,132,108,8,NA
36,69,126,120,8,NA
37,63,118,129,8,NA
38,67,134,102,8,NA
39,66,111,110,8,NA
40,54,115,107,8,NA
41,50,109,126,NA,NA
42,50,115,115,NA,NA
43,53,106,118,NA,NA
44,56,123,102,NA,NA
45,56,114,107,NA,NA
46,60,116,113,NA,NA
47,62,121,113,NA,NA
48,72,120,114,NA,NA
49,62,114,126,NA,NA
50,69,124,119,NA,NA
51,65,130,135,NA,NA
52,74,111,119,NA,NA
53,67,108,115,NA,NA
54,85,105,123,NA,NA
55,78,101,125,NA,NA
56,90,101,128,NA,NA
57,74,92,124,NA,NA
58,70,85,137,NA,NA
59,67,81,152,NA,NA
60,71,73,156,NA,NA
61,77,74,136,NA,NA
62,71,67,139,NA,NA
63,77,64,146,NA,NA
64,79,68,154,NA,NA
65,73,65,142,NA,NA
66,82,62,158,NA,NA
67,81,68,140,NA,NA
68,76,65,137,NA,NA
69,78,62,140,NA,NA
70,85,60,141,NA,NA
71,93,64,139,NA,NA
72,107,57,121,NA,NA
73,98,53,123,NA,NA
74,116,47,126,NA,NA
75,100,49,131,NA,NA
76,108,57,145,NA,NA
77,100,59,143,NA,NA
78,106,64,159,NA,NA
79,101,49,141,NA,NA
80,101,65,139,NA,NA
81,118,50,143,NA,NA
82,108,41,141,NA,NA
83,123,49,154,NA,NA
84,120,36,124,NA,NA
85,95,34,122,NA,NA
86,108,36,107,NA,NA
87,90,36,117,NA,NA
88,88,36,96,NA,NA
89,86,35,98,NA,NA
90,93,40,109,NA,NA
91,106,36,112,NA,NA
92,103,37,132,NA,NA
93,115,37,116,NA,NA
94,117,35,124,NA,NA
95,121,33,118,NA,NA
96,116,31,133,NA,NA
97,108,31,126,NA,NA
98,123,31,140,NA,NA
99,121,31,144,NA,NA
100,120,31,143,NA,NA
101,143,31,126,NA,NA
102,129,31,130,NA,NA
103,129,31,114,NA,NA
104,118,31,113,NA,NA
105,133,31,105,NA,NA
106,120,31,102,NA,NA
107,131,31,103,NA,NA
108,118,31,103,NA,NA
109,133,31,97,NA,NA
110,114,31,71,NA,NA
111,131,31,79,NA,NA
112,115,31,72,NA,NA
113,134,31,87,NA,NA
114,111,31,76,NA,NA
115,115,31,72,NA,NA
116,97,31,72,NA,NA
117,107,31,67,NA,NA
118,103,31,68,NA,NA
119,104,31,68,NA,NA
120,107,NA,73,NA,NA
121,110,NA,75,NA,NA
122,109,NA,83,NA,NA
123,107,NA,70,NA,NA
124,101,NA,71,NA,NA
125,110,NA,70,NA,NA
126,104,NA,76,NA,NA
127,111,NA,79,NA,NA
128,112,NA,81,NA,NA
129,108,NA,84,NA,NA
130,102,NA,79,NA,NA
131,116,NA,86,NA,NA
132,111,NA,84,NA,NA
133,116,NA,84,NA,NA
134,106,NA,72,NA,NA
135,104,NA,81,NA,NA
136,99,NA,73,NA,NA
137,102,NA,91,NA,NA
138,99,NA,77,NA,NA
139,110,NA,99,NA,NA
140,115,NA,86,NA,NA
141,106,NA,104,NA,NA
142,113,NA,98,NA,NA
143,115,NA,114,NA,NA
144,110,NA,111,NA,NA
145,111,NA,107,NA,NA
146,111,NA,109,NA,NA
147,127,NA,84,NA,NA
148,105,NA,78,NA,NA
149,109,NA,74,NA,NA
150,111,NA,67,NA,NA
151,120,NA,72,NA,NA
152,112,NA,66,NA,NA
153,124,NA,77,NA,NA
154,116,NA,65,NA,NA
155,114,NA,67,NA,NA
156,109,NA,66,NA,NA
157,118,NA,60,NA,NA
158,110,NA,66,NA,NA
159,108,NA,63,NA,NA
160,87,NA,62,NA,NA
161,92,NA,64,NA,NA
162,99,NA,62,NA,NA
