Generation,Density 0,1,Density 0,3,Density 0,5,Density 0,6,Density 0,7
0,44,298,270,140,55
1,39,271,250,135,42
2,41,256,236,128,39
3,44,250,244,119,40
4,45,266,238,117,40
5,49,281,214,130,45
6,49,197,227,119,33
7,63,205,241,108,36
8,54,184,226,120,30
9,77,150,221,113,27
10,67,157,248,103,25
11,71,134,190,103,28
12,66,131,196,96,30
13,74,133,182,106,30
14,80,135,175,93,38
15,71,115,153,96,33
16,66,118,163,96,26
17,68,111,158,109,24
18,65,108,167,94,22
19,66,115,171,91,22
20,66,113,169,86,28
21,59,116,178,92,20
22,61,131,170,92,18
23,65,110,192,96,14
24,71,119,165,106,14
25,75,104,157,100,14
26,84,110,144,116,14
27,78,115,148,104,14
28,74,123,128,115,14
29,71,114,143,117,14
30,79,109,143,100,14
31,76,99,151,118,14
32,89,91,169,98,14
33,93,92,148,101,14
34,91,82,127,107,14
35,104,78,140,117,14
36,116,79,127,111,14
37,114,87,126,112,14
38,115,75,122,116,14
39,116,74,124,108,14
40,122,77,130,114,14
41,133,81,117,98,14
42,112,83,118,107,14
43,123,82,108,100,14
44,120,87,95,89,14
45,122,84,103,85,14
46,124,87,93,98,14
47,118,89,94,93,NA
48,109,86,92,87,NA
49,107,100,87,84,NA
50,114,98,89,85,NA
51,103,105,92,77,NA
52,111,101,76,69,NA
53,113,99,72,82,NA
54,118,95,73,71,NA
55,99,102,78,82,NA
56,105,98,76,79,NA
57,79,101,79,86,NA
58,82,101,76,90,NA
59,71,110,88,95,NA
60,69,105,89,100,NA
61,89,115,77,102,NA
62,80,118,75,108,NA
63,85,135,67,110,NA
64,79,115,71,118,NA
65,80,134,77,120,NA
66,73,136,80,126,NA
67,80,145,73,112,NA
68,67,143,58,108,NA
69,74,151,55,110,NA
70,71,172,55,122,NA
71,80,148,57,122,NA
72,70,128,63,132,NA
73,75,128,57,124,NA
74,72,151,62,138,NA
75,84,140,55,132,NA
76,83,157,50,117,NA
77,85,138,47,118,NA
78,88,144,45,109,NA
79,83,145,45,102,NA
80,87,138,53,104,NA
81,80,138,49,104,NA
82,88,123,57,99,NA
83,85,119,53,102,NA
84,83,113,56,106,NA
85,93,119,61,107,NA
86,71,114,66,121,NA
87,82,87,67,112,NA
88,62,92,80,122,NA
89,59,80,71,112,NA
90,57,91,83,115,NA
91,52,91,75,113,NA
92,60,104,75,97,NA
